EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1158236,MOBILE COASTAL (ZONE), ,01/08/2024,1900,Coastal Flood, , ,0,0,0,0,AL,CST-6, ,188266,Z,265,MOB,0,0,Law Enforcement, , , , , , , , ,01/08/2024,2000, , , , ,"Shell Belt Road South is impassable from Kennedy and all roads eastward. Coden Belt Road is also impassable.","Multiple rounds of severe thunderstorms moved across southwest Alabama starting during the late evening hours of January 8th and continued through early morning hours of the 9th. This system produced four EF-0's and two EF-1's in Alabama.",1
1147714,ANNE ARUNDEL (ZONE), ,01/09/2024,1424,Coastal Flood, , ,0,0,80000,0,MD,EST-5, ,186985,Z,14,LWX,0,0,River/Stream Gage, , , , , , , , ,01/10/2024,824, , , , ,"The Annapolis National Ocean Service (NOS) tide gauge crested at 5.1' MLLW (3.7' MHHW) at 224 AM EST on Jan 10th which was just above the major flood threshold of 5' MLLW. This was the third highest crest on record at Annapolis only surpassed by the surge from TS Isabel in 2003 and the Chesapeake - Potomac hurricane of 1933. There were many reports of coastal flooding throughout the county. The City of Annapolis declared a state of emergency as flood damage shut down many businesses. This opened up grant funding for small businesses and non-profits that were impacted by the severe flooding. The Annapolis Maritime Museum took 18 inches of water into their building.  The museum remained closed until Feb 3 after a three-week recovery period. The Storm Brother's Ice Cream Factory indicated that they would be closed a month or two and damage cost around $60k. Lead time for this event was 22.7 hours.","A strong area of low pressure tracked from the mid MS River Valley on Jan 9th to the Northeast U.S. Jan 10th. A very strong pressure gradient ahead of the low pressure center resulted in a long period of strong southerly winds gusting up to 55 mph that raised water levels to major levels at several locations along the western shore of the Chesapeake Bay.",2
1161012,DISTRICT OF COLUMBIA (ZONE), ,01/09/2024,1612,Coastal Flood, , ,0,0,0,0,DC,EST-5, ,188780,Z,1,LWX,0,0,River/Stream Gage, , , , , , , , ,01/09/2024,2212, , , , ,"The NOS tide gauge at Washington DC Southwest Waterfront reached a crest of 6.19' MLLW (3.0' MHHW) at 636 PM EST on Jan 9th. Lead time for this event was 12.9 hours.","A strong area of low pressure tracked from the mid MS River Valley on Jan 9th to the Northeast U.S. Jan 10th. A very strong pressure gradient ahead of the low pressure center resulted in a long period of strong SE winds gusting up to 52 mph that raised water levels to moderate levels at several locations along the Potomac River.",3
1161013,ARLINGTON (ZONE), ,01/09/2024,1630,Coastal Flood, , ,0,0,0,0,VA,EST-5, ,188782,Z,54,LWX,0,0,River/Stream Gage, , , , , , , , ,01/09/2024,2142, , , , ,"The USGS tide gauge at City of Alexandria reached a crest of 4.9' NAVD88 at 642 PM EST on Jan 9th. This was the 7th highest crest ever at this location. Lead time for this event was 13.2 hours.","A strong area of low pressure tracked from the mid MS River Valley on Jan 9th to the Northeast U.S. Jan 10th. A very strong pressure gradient ahead of the low pressure center resulted in a long period of strong SE winds gusting up to 52 mph that raised water levels to moderate levels at several locations along the Potomac River.",4
1161006,SOUTHERN BALTIMORE (ZONE), ,01/09/2024,1800,Coastal Flood, , ,0,0,0,0,MD,EST-5, ,186985,Z,11,LWX,0,0,River/Stream Gage, , , , , , , , ,01/10/2024,454, , , , ,"The Fort McHenry NOS tide gauge reached a crest of 5.43' MLLW (3.7' MLLW) at 1242 AM on Jan 10th 2024. This was the 5th highest crest on record at this location. Lead time for this event was 26.3 hours.","A strong area of low pressure tracked from the mid MS River Valley on Jan 9th to the Northeast U.S. Jan 10th. A very strong pressure gradient ahead of the low pressure center resulted in a long period of strong southerly winds gusting up to 55 mph that raised water levels to major levels at several locations along the western shore of the Chesapeake Bay.",5
1160659,DORCHESTER (ZONE), ,01/09/2024,1915,Coastal Flood, , ,0,0,0,0,MD,EST-5, ,188669,Z,21,AKQ,0,0,River/Stream Gage, , , , , , , , ,01/10/2024,1410, , , , ,"Strong southeast then south winds in advance of intense low pressure and an associated cold front caused moderate to major (tidal) coastal flooding over portions of Dorchester county adjacent to the Chesapeake Bay. Bishops Head reached 4.43 feet MLLW at 1112 pm on Tuesday, January 9. Bishops Head also reached 3.89 feet MLLW at 1206 pm on Wednesday, January 10.","Strong southeast then south winds in advance of intense low pressure and an associated cold front caused moderate (tidal) coastal flooding across portions of the Lower Maryland Eastern Shore.",6
1161008,SOUTHEAST HARFORD (ZONE), ,01/09/2024,1924,Coastal Flood, , ,0,0,0,0,MD,EST-5, ,186985,Z,508,LWX,0,0,River/Stream Gage, , , , , , , , ,01/10/2024,100, , , , ,"The USGS stream gauge at Havre de Grace reached a crest of 6.6' MLLW at 1006 PM on Jan 9th 2024. This was the highest crest ever recorded at this gauge, however, this gauge has only been around since 2012. Flooding impacts in the Havre de Grace were more typical of minor flooding instead of major since there have been flood barriers and other flood mitigation projects built around the city.","A strong area of low pressure tracked from the mid MS River Valley on Jan 9th to the Northeast U.S. Jan 10th. A very strong pressure gradient ahead of the low pressure center resulted in a long period of strong southerly winds gusting up to 55 mph that raised water levels to major levels at several locations along the western shore of the Chesapeake Bay.",7
1160693,NORTHUMBERLAND (ZONE), ,01/09/2024,1930,Coastal Flood, , ,0,0,0,0,VA,EST-5, ,188671,Z,77,AKQ,0,0,River/Stream Gage, , , , , , , , ,01/10/2024,1310, , , , ,"Strong southeast then south winds in advance of intense low pressure and an associated cold front caused moderate (tidal) coastal flooding over portions of Northumberland county adjacent to the Potomac River. Lewisetta reached 3.99 feet MLLW at 100 am on Wednesday, January 10.","Strong southeast then south winds in advance of intense low pressure and an associated cold front caused moderate (tidal) coastal flooding across portions of the Virginia Northern Neck Adjacent to the Potomac River.",8
1160685,SOMERSET (ZONE), ,01/09/2024,2000,Coastal Flood, , ,0,0,0,0,MD,EST-5, ,188669,Z,23,AKQ,0,0,River/Stream Gage, , , , , , , , ,01/10/2024,1300, , , , ,"Strong southeast then south winds in advance of intense low pressure and an associated cold front caused moderate (tidal) coastal flooding over portions of Somerset county adjacent to the Chesapeake Bay. Crisfield reached 4.44 feet MLLW on Wednesday, January 10.","Strong southeast then south winds in advance of intense low pressure and an associated cold front caused moderate (tidal) coastal flooding across portions of the Lower Maryland Eastern Shore.",9
1161009,CECIL (ZONE), ,01/09/2024,2036,Coastal Flood, , ,0,0,0,0,MD,EST-5, ,186985,Z,8,LWX,0,0,River/Stream Gage, , , , , , , , ,01/09/2024,2348, , , , ,"The NOS tide gauge at Chesapeake City reached a crest of 7.65' MLLW (4.3' MHHW) at 954 PM EST on Jan 9th. This was the second highest crest ever recorded at this location. However, flooding impacts from this event appeared to have been more typical of minor flooding.","A strong area of low pressure tracked from the mid MS River Valley on Jan 9th to the Northeast U.S. Jan 10th. A very strong pressure gradient ahead of the low pressure center resulted in a long period of strong southerly winds gusting up to 55 mph that raised water levels to major levels at several locations along the western shore of the Chesapeake Bay.",10
1160667,DORCHESTER (ZONE), ,01/09/2024,2048,Coastal Flood, , ,0,0,0,0,MD,EST-5, ,188669,Z,21,AKQ,0,0,River/Stream Gage, , , , , , , , ,01/10/2024,740, , , , ,"Strong southeast then south winds in advance of intense low pressure and an associated cold front caused moderate to major (tidal) coastal flooding over portions of Dorchester county adjacent to the Chesapeake Bay. Cambridge reached 5.25 feet MLLW at 236 am on Wednesday, January 10.","Strong southeast then south winds in advance of intense low pressure and an associated cold front caused moderate (tidal) coastal flooding across portions of the Lower Maryland Eastern Shore.",11
1161003,ST. MARY'S (ZONE), ,01/09/2024,2200,Coastal Flood, , ,0,0,0,0,MD,EST-5, ,186985,Z,17,LWX,0,0,River/Stream Gage, , , , , , , , ,01/10/2024,600, , , , ,"The Straits Point gauge reached a crest of 4.25' MLLW at 2 AM EST on Jan 10th. This crest was in the top 10th highest crests. Lead time for this event was 29.3 hours.","A strong area of low pressure tracked from the mid MS River Valley on Jan 9th to the Northeast U.S. Jan 10th. A very strong pressure gradient ahead of the low pressure center resulted in a long period of strong southerly winds gusting up to 55 mph that raised water levels to major levels at several locations along the western shore of the Chesapeake Bay.",12
1162468,HATTERAS ISLAND (ZONE), ,01/09/2024,2200,Coastal Flood, , ,0,0,0,0,NC,EST-5, ,188596,Z,205,MHX,0,0,Department of Highways, , , , , , , , ,01/10/2024,1000, , , , ,"NC DOT reported secondary roads in and around Rodanthe received minor ocean |overwash. Public shared photos of water covering Highway 12. The DOT also reported that Highway 12 had a layer of deep sand blown on the road along with standing water at Pea Island.","Late on the evening of January 9, 2024, a strong cold front moved east across the Carolinas, and was accompanied by a line of severe thunderstorms. A period of strong southerly winds (not associated with thunderstorms) developed ahead of the cold front, followed by widespread strong to damaging winds associated with the line of thunderstorms. These thunderstorms produced wind gusts as high as 100 mph, caused tree and structure damage, and spawned multiple tornadoes. Since 1950, only one other time in Eastern North Carolina history has a storm system produced 3, or more, tornadoes in one event during the winter months (Dec, Jan, Feb). The last time was February 18, 2008. The strong onshore winds also led to coastal flooding, especially across the Outer Banks from Ocracoke north. In all, over 60 reports of severe weather or coastal flooding were received, and over 20 Severe Thunderstorm and several Tornado Warnings were issued. This event will go down as one of the more notable winter season severe weather events for Eastern North Carolina.",13
1162467,NORTHERN OUTER BANKS (ZONE), ,01/09/2024,2200,Coastal Flood, , ,0,0,0,0,NC,EST-5, ,188596,Z,203,MHX,0,0,Law Enforcement, , , , , , , , ,01/10/2024,1000, , , , ,"Dare County Sheriffs Office reported water coming across the roads near Billy's Seafood in Colington.","Late on the evening of January 9, 2024, a strong cold front moved east across the Carolinas, and was accompanied by a line of severe thunderstorms. A period of strong southerly winds (not associated with thunderstorms) developed ahead of the cold front, followed by widespread strong to damaging winds associated with the line of thunderstorms. These thunderstorms produced wind gusts as high as 100 mph, caused tree and structure damage, and spawned multiple tornadoes. Since 1950, only one other time in Eastern North Carolina history has a storm system produced 3, or more, tornadoes in one event during the winter months (Dec, Jan, Feb). The last time was February 18, 2008. The strong onshore winds also led to coastal flooding, especially across the Outer Banks from Ocracoke north. In all, over 60 reports of severe weather or coastal flooding were received, and over 20 Severe Thunderstorm and several Tornado Warnings were issued. This event will go down as one of the more notable winter season severe weather events for Eastern North Carolina.",14
1161005,CALVERT (ZONE), ,01/09/2024,2236,Coastal Flood, , ,0,0,0,0,MD,EST-5, ,186985,Z,18,LWX,0,0,River/Stream Gage, , , , , , , , ,01/10/2024,36, , , , ,"The Solomons Island NOS tide gauge reached a crest of 4.37' MLLW at 1236 AM on Jan 10th making it the fourth highest crest on record at this location. Lead time for this event was 30.9 hours.","A strong area of low pressure tracked from the mid MS River Valley on Jan 9th to the Northeast U.S. Jan 10th. A very strong pressure gradient ahead of the low pressure center resulted in a long period of strong southerly winds gusting up to 55 mph that raised water levels to major levels at several locations along the western shore of the Chesapeake Bay.",15
